"","scenario","term_length","lower","central","upper"
"1","SSP1-1.9","2021-2040",0.5,0.68,0.89
"2","SSP1-1.9","2041-2060",0.53,0.78,1.12
"3","SSP1-1.9","2081-2100",0.27,0.57,1.01
"4","SSP1-2.6","2021-2040",0.51,0.68,0.88
"5","SSP1-2.6","2041-2060",0.68,0.96,1.31
"6","SSP1-2.6","2081-2100",0.55,0.91,1.43
"7","SSP2-4.5","2021-2040",0.51,0.67,0.87
"8","SSP2-4.5","2041-2060",0.86,1.15,1.52
"9","SSP2-4.5","2081-2100",1.24,1.73,2.43
"10","SSP3-7.0","2021-2040",0.52,0.68,0.87
"11","SSP3-7.0","2041-2060",0.97,1.27,1.66
"12","SSP3-7.0","2081-2100",1.94,2.6,3.47
"13","SSP5-8.5","2021-2040",0.6,0.79,1
"14","SSP5-8.5","2041-2060",1.19,1.57,2.02
"15","SSP5-8.5","2081-2100",2.55,3.4,4.48
